in s,C1 in V,C3 in V
-2.8084E-06,-8.63414E-02,-2.51477E+00
-2.8080E-06,-8.38023E-02,-2.45617E+00
-2.8076E-06,-8.14586E-02,-2.45617E+00
-2.8072E-06,-7.97008E-02,-2.43664E+00
-2.8068E-06,-7.69664E-02,-2.39758E+00
-2.8064E-06,-7.48180E-02,-2.43664E+00
-2.8060E-06,-7.26695E-02,-2.41711E+00
-2.8056E-06,-7.03258E-02,-2.51477E+00
-2.8052E-06,-6.70055E-02,-2.43664E+00
-2.8048E-06,-6.58336E-02,-2.47570E+00
-2.8044E-06,-6.42711E-02,-2.45617E+00
-2.8040E-06,-6.15367E-02,-2.45617E+00
-2.8036E-06,-5.95836E-02,-2.39758E+00
-2.8032E-06,-5.78258E-02,-2.31945E+00
-2.8028E-06,-5.70445E-02,-2.41711E+00
-2.8024E-06,-5.62633E-02,-2.41711E+00
-2.8020E-06,-5.50914E-02,-2.47570E+00
-2.8016E-06,-5.50914E-02,-2.45617E+00
-2.8012E-06,-5.54820E-02,-2.49523E+00
-2.8008E-06,-5.54820E-02,-2.45617E+00
-2.8004E-06,-5.50914E-02,-2.53430E+00
-2.8000E-06,-5.48961E-02,-2.39758E+00
-2.7996E-06,-5.37242E-02,-2.45617E+00
-2.7992E-06,-5.33336E-02,-2.51477E+00
-2.7988E-06,-5.29430E-02,-2.49523E+00
-2.7984E-06,-5.17711E-02,-2.53430E+00
-2.7980E-06,-5.17711E-02,-2.53430E+00
-2.7976E-06,-5.07945E-02,-2.47570E+00
-2.7972E-06,-5.05992E-02,-2.49523E+00
-2.7968E-06,-4.98180E-02,-2.45617E+00
-2.7964E-06,-4.92320E-02,-2.45617E+00
-2.7960E-06,-4.90367E-02,-2.51477E+00
-2.7956E-06,-4.80602E-02,-2.51477E+00
-2.7952E-06,-4.72789E-02,-2.43664E+00
-2.7948E-06,-4.63023E-02,-2.47570E+00
-2.7944E-06,-4.45445E-02,-2.43664E+00
-2.7940E-06,-4.49352E-02,-2.47570E+00
-2.7936E-06,-4.31773E-02,-2.45617E+00
-2.7932E-06,-4.18102E-02,-2.53430E+00
-2.7928E-06,-4.00523E-02,-2.53430E+00
